Manicupalities with their corresponding code;
;
Manicupality;Code
Amsterdam -Kantershof;NL49002
Amsterdam-Einsteinweg;NL49003
Amsterdam-Haarlemmerweg;NL49007
Amsterdam-Jan van Galenstraat;NL49012
Amsterdam-Nieuwendammerdijk;NL49014
Amsterdam-Ookmeer;NL49017
Amsterdam-Oude Schans;NL49019
Amsterdam-Stadhouderskade;NL49020
Amsterdam-Van Diemenstraat;NL49021
Amsterdam-Vondelpark;NL49022
Badhoevedorp-Sloterweg;NL49546
Hoofddorp-Hoofdweg;NL49551
IJmuiden-Kanaalstraat;NL49553
Oude Meer-Aalsmeerderdijk;NL49561
Spaarnwoude-Machineweg;NL49564
Wijk aan Zee-De Banjaert;NL49565
Zaandam-Wagenschotpad;NL49701
Zaanstad-Hemkade;NL49703
Zaanstad-Hoogtij;NL49704
