;2015;2016;2017;2018;2019;2020
NL49002;49.0;49.0;48.0;40.0;37.0;31.0
NL49003;22.0;24.0;24.0;22.0;20.0;17.0
NL49007;46.0;48.0;44.0;45.0;41.0;34.0
NL49012;36.0;37.0;35.0;36.0;37.0;27.0
NL49014;25.0;25.0;25.0;23.0;22.0;17.0
NL49017;37.0;36.0;35.0;34.0;32.0;24.0
NL49019;29.0;30.0;30.0;28.0;25.0;20.0
NL49020;43.0;41.0;44.0;41.0;37.0;28.0
NL49021;21.0;22.0;22.0;20.0;19.0;15.0
NL49022;21.0;22.0;22.0;21.0;19.0;15.0
NL49546;30.0;30.0;30.0;29.0 *;28.0;25.0
NL49551;25.0;27.0;27.0;27.0;24.0;21.0
NL49553;20.0;20.0;19.0;21.0;20.0;17.0
NL49561;29.0;29.0;31.0;27.0;26.0;20.0
NL49564;22.0;23.0;23.0;23.0;21.0;15.0
NL49565;24.0;25.0;24.0;23.0;22.0;17.0
NL49701;22.0;24.0;22.0;21.0;21.0;18.0
NL49703;19.0;20.0;20.0;20.0;19.0;15.0
NL49704;24.0;27.0;26.0;25.0;25.0;21.0
;;;;;;
Meetpunten van GGD Amsterdam;;;;;;
Definitieve data (gevalideerd);;;;;;
*=  Minder dan 90% van de gekozen periode beschikbaar (uur/dag);;;;;;
Wijzigingen van eerder gerapporteerde data zie https://www.luchtmeetnet.nl/informatie/download-data/rapportage-correcties. Meer informatie over o.a. afronding zie https://www.luchtmeetnet.nl/informatie/download-data/download-statistieken;;;;;;
microgram/m3;;;;;;
Export d.d.:                 08-11-2022;;;;;;
